Activate	0x55F390
PlayAnim	0x56CE80
PlayAnimBlend	0x56D0D0
PlayAnimBlendHold	0x56D320
PlayAnimWF	0x56F9E0
PlayBinkMovie	0x560900
PlayBinkMovie_CineSkip	0x560970
PlayEffect	0x55A7C0
PlayRumble	0x55CC70
PlaySound	0x556A60
PlaySoundOnBone	0x556B50
PlaySoundUI	0x556840
PlaySpeech	0x556E90
PlaySpeechAt	0x557280
PlaySpeechAtWF	0x5576F0
PlaySpeechVO	0x557CF0
PlayerHasAmmo	0x5619E0
PlayerInBoat	0x55DFB0
Player_GetBountyAssignment	0x5625B0
Player_GetBountyAssignmentFinished	0x562610
Player_GetBountyAssignmentFinishedKilled	0x5626D0
Player_SetBountyAssignment	0x562780
Player_SetBountyAssignmentFinished	0x5628B0
PopBattleMusic	0x5564A0
PopEventMusic	0x5564A0
PopMusic	0x556590
PopTrumpMusic	0x5564A0
PortalDisable	0x550270
PortalEnable	0x5501F0
PostAlarm	0x54CE10
PrimeCue	0x556CF0
PrimeSpeechCue	0x556D80
PushBattleMusic	0x5564A0
PushEventMusic	0x5564A0
PushMusic	0x5564E0
PushTrumpMusic	0x5564A0
PutCurrentAnimationAtEnd	0x55A720
Queue	0x5556B0
QuickSave	0x54D8A0
QuickSpeak	0x562DF0
RandomFloat	0x54C370
RandomInt	0x54C2F0
Reboot	0x54D860
RemoveObjectFromGroup	0x55DAA0
ReturnToGameCam	0x55A460
ReturnToGameCamSpecific	0x55A490
RingBell	0x55DBD0
RumblePref	0x568DB0
Say	0x56B2C0
SayWF	0x5703A0
Set	0x54F470
SetCinematicSkippable	0x5586B0
SetCritterPathSpawnEnabled	0x5616D0
SetDOFDistance	0x55EF40
SetDOFRange	0x55EE60
SetDesiredMechState	0x55FBC0
SetDesiredMechStateWF	0x55FC10
SetFullRunAllowed	0x561380
SetHealth	0x555290
SetHomePosition	0x54E380
SetJournalText	0x563820
SetMindState	0x569930
SetMoolah	0x563140
SetNPCAffected	0x561430
SetNPCForceFieldEnable	0x563A00
SetNPCHealthBarEnable	0x563AD0
SetNPCResponds	0x561500
SetPlayerSeen	0x5563A0
SetRepeaterCue	0x556750
SetReverbEnvironment	0x5564A0
SetStamina	0x555440
SetSteefClothed	0x54D820
SetSteefNaked	0x54D820
SetToInitialHealthAndStamina	0x555230
SetToMaxHealth	0x5552F0
SetToMaxHealthAndStamina	0x555260
SetToMaxStamina	0x5554A0
ShakeOffDamage	0x54D5A0
ShowHealthBars	0x558710
Sleep	0x683470
SpawnEffectAttachedToBone	0x55ADF0
SpawnEffectAttachedToBonePosition	0x55B030
SpawnEffectAttachedToObject	0x55B270
SpawnEffectAttachedToObjectPosition	0x55B440
SpawnTendrilFromBoneToBone	0x55BDE0
SpawnTendrilFromBoneToObject	0x55BAE0
SpawnTendrilFromRandomBoneToObject	0x55C130
SpawnTendrilTweenObjects	0x55B7C0
StartCineTorsoAnim	0x56ABD0
StartCountdownTimer	0x5621B0
StartEffect	0x55A9A0
StartEnvironmentalCue	0x558210
StartGS	0x572990
StartJobOnSteef	0x559730
StartOrContinueConversation	0x562F50
StartScript	0x5598E0
StartSoundWF	0x557F20
StopAnimation	0x55A680
StopCountdownTimer	0x562230
StopEffect	0x55AC20
StopEffectDelayed	0x55ACF0
StopEnvironmentalCue	0x558330
StopLastCue	0x556C50
StopSound	0x558090
StopSpeech	0x557C00
String	0x6822E0
TakeAllAmmo	0x560B90
TakeAllArtifacts	0x5634D0
TakeAllWeapons	0x560A80
TakeArtifact	0x563350
TakeDamage	0x555320
TakeStamina	0x5554D0
TakeWeapon	0x561150
Teleport	0x54E140
TeleportHome	0x54E2C0
TeleportReset	0x54E200
TextOverlay	0x561D80
TextOverlayClear	0x562080
TextOverlayClose	0x562040
TextOverlayOpen	0x561FA0
TextOverlayPause	0x561DF0
TextOverlayUpDuringGUI	0x5620C0
Time	0x54C550
TransitionMusic	0x5565D0
TriggerAchievement	0x563B90
TriggerAnimation	0x55A620
TriggerAnimationReverse	0x55A620
TriggerAnimationReverseWF	0x55A650
TriggerAnimationWF	0x55A650
TriggerExplosion	0x55CD30
TurnTo	0x56C0A0
TurnToWF	0x56FEC0
UnlockAllMovies	0x54D550
UnlockPlayerDisguise	0x54D4C0
UpdateJournal	0x5638F0
UpdateNav	0x569DD0
UpdateNavObject	0x56A030
WaitFor	0x555590
WaitForButton	0x54C590
WaitForCameraTrans	0x55E9E0
WaitForZonePagedIn	0x550360
WeaponPref	0x568F40
and	0x682F30
float	0x682260
int	0x6821F0
not	0x683040
or	0x682FC0
sin	0x6830A0
