function	handler	sig_tokens
SetReverbEnvironment	0x5564A0	{void}|ID
SetStamina	0x555440	{void}|Object
SetSteefClothed	0x54D820	
SetSteefNaked	0x54D820	{void}
SetToInitialHealthAndStamina	0x555230	{void}|Object
SetToMaxHealth	0x5552F0	{void}|Object
SetToMaxHealthAndStamina	0x555260	{void}|Object
SetToMaxStamina	0x5554A0	{void}|Object
ShakeOffDamage	0x54D5A0	
ShowHealthBars	0x558710	{void}
Sleep	0x683470	
SpawnEffectAttachedToBone	0x55ADF0	{void}|EffectPref|String
SpawnEffectAttachedToBonePosition	0x55B030	{void}|EffectPref|String
SpawnEffectAttachedToObject	0x55B270	{void}|EffectPref
SpawnEffectAttachedToObjectPosition	0x55B440	{void}|EffectPref
SpawnTendrilFromBoneToBone	0x55BDE0	Effect|EffectPref|Object
SpawnTendrilFromBoneToObject	0x55BAE0	Effect|EffectPref|Object
SpawnTendrilFromRandomBoneToObject	0x55C130	Effect|EffectPref|Object
SpawnTendrilTweenObjects	0x55B7C0	
StartCineTorsoAnim	0x56ABD0	{void}|Object|int
StartCountdownTimer	0x5621B0	{void}|int
StartEffect	0x55A9A0	Effect|Object
StartEnvironmentalCue	0x558210	{void}|ID
StartGS	0x572990	{void}|ID|ID
StartJobOnSteef	0x559730	{void}|Resource
StartOrContinueConversation	0x562F50	{void}|Object
StartScript	0x5598E0	Script|Object
StartSoundWF	0x557F20	SoundHandle|ID
StopAnimation	0x55A680	{void}|Object
StopCountdownTimer	0x562230	{void}
StopEffect	0x55AC20	{void}|Effect
StopEffectDelayed	0x55ACF0	{void}|Effect
StopEnvironmentalCue	0x558330	{void}|ID
StopLastCue	0x556C50	{void}|Object
StopSound	0x558090	{void}|SoundHandle
StopSpeech	0x557C00	{void}|Object
String	0x6822E0	String|int
TakeAllAmmo	0x560B90	{void}
TakeAllArtifacts	0x5634D0	{void}
TakeAllWeapons	0x560A80	{void}
TakeArtifact	0x563350	{void}|ArtifactPref
TakeDamage	0x555320	{void}|Object
TakeStamina	0x5554D0	{void}|Object|float
TakeWeapon	0x561150	{void}|String
Teleport	0x54E140	
TeleportHome	0x54E2C0	{void}|ID
TeleportReset	0x54E200	{void}|Object|EMotionTeleport
TextOverlay	0x561D80	{void}|ID
TextOverlayClear	0x562080	{void}
TextOverlayClose	0x562040	{void}
TextOverlayOpen	0x561FA0	{void}|int
TextOverlayPause	0x561DF0	{void}|ID
TextOverlayUpDuringGUI	0x5620C0	{void}
Time	0x54C550	
TransitionMusic	0x5565D0	{void}|EMusicType
TriggerAchievement	0x563B90	{void}|int
TriggerAnimation	0x55A620	
TriggerAnimationReverse	0x55A620	{void}|Object
TriggerAnimationReverseWF	0x55A650	
TriggerAnimationWF	0x55A650	{void}|Object
TriggerExplosion	0x55CD30	{void}|Object
TurnTo	0x56C0A0	
TurnToWF	0x56FEC0	{void}|Object
UnlockAllMovies	0x54D550	{void}
UnlockPlayerDisguise	0x54D4C0	{void}
UpdateJournal	0x5638F0	{void}
UpdateNav	0x569DD0	{void}|ID
UpdateNavObject	0x56A030	{void}|ID
WaitFor	0x555590	{void}|ShortGoal
WaitForButton	0x54C590	{void}|GameButton
WaitForCameraTrans	0x55E9E0	
WaitForZonePagedIn	0x550360	{void}|ID
WeaponPref	0x568F40	WeaponPref|String
and	0x682F30	
float	0x682260	float|int
int	0x6821F0	
not	0x683040	bool|bool
or	0x682FC0	
sin	0x6830A0	
