class	field	offset
BoltSurfaceSndPrefs	m_fireStraightAhead	0x14
BoltSurfaceSndPrefs	m_fxImpactStickPrefBase	0x14
BoltSurfaceSndPrefs	m_spinRate	0x14
BoltSurfaceSndPrefs	m_fireFirstRampShotStraight	0x15
BoltSurfaceSndPrefs	m_finalSpreadAngle	0x18
BoltSurfaceSndPrefs	m_fxImpactDamagePrefBase	0x18
BoltSurfaceSndPrefs	m_sndRicocheteBase	0x18
BoltSurfaceSndPrefs	m_spinDeadzone	0x18
BoltSurfaceSndPrefs	m_finalSpreadVerticalScale	0x1C
BoltSurfaceSndPrefs	m_sndImpactStickBase	0x1C
BoltSurfaceSndPrefs	m_spreadName	0x1C
BoltSurfaceSndPrefs	m_hitscanBlastAngle	0x20
BoltSurfaceSndPrefs	m_rotateSteppedShotDegrees	0x20
BoltSurfaceSndPrefs	m_xyOnly	0x24
BoltSurfaceSndPrefs	m_finalDistribution	0x24
BoltSurfaceSndPrefs	m_auxInterruptType	0x24
BoltSurfaceSndPrefs	m_orientToVelocityInFlight	0x25
BoltSurfaceSndPrefs	m_useHighArc	0x26
BoltSurfaceSndPrefs	m_shakeOffZOffset	0x28
BoltSurfaceSndPrefs	m_initalRadius	0x28
BoltSurfaceSndPrefs	m_trailColor	0x28
BoltSurfaceSndPrefs	m_pitchClamp	0x2C
BoltSurfaceSndPrefs	m_initialDistribution	0x2C
BoltSurfaceSndPrefs	m_trailDuration	0x2C
BoltSurfaceSndPrefs	m_maxLeadVel	0x30
BoltSurfaceSndPrefs	m_offsetRandMin	0x30
BoltSurfaceSndPrefs	m_trailThickness	0x30
BoltSurfaceSndPrefs	m_offsetRandMax	0x34
BoltSurfaceSndPrefs	m_trailFadeDuration	0x34
BoltSurfaceSndPrefs	m_spiralCenteredness	0x38
BoltSurfaceSndPrefs	m_hitscanBlastSquibCount	0x38
BoltSurfaceSndPrefs	m_spiralTightness	0x3C
BoltSurfaceSndPrefs	m_speedRandomness	0x40
BoltSurfaceSndPrefs	m_explosionDuration	0x5C
BoltSurfaceSndPrefs	m_explosionFriendAffectMultiplier	0x64
BoltSurfaceSndPrefs	m_fxSurfaceSetName	0x64
BoltSurfaceSndPrefs	m_knockEfficiency	0x68
BoltSurfaceSndPrefs	m_knockUsePleaseGetOut	0x6C
BoltSurfaceSndPrefs	m_fxFireStretchWindIfHitscan	0x6C
BoltSurfaceSndPrefs	m_knocksOutOfFirstPersonFromArea	0x6E
BoltSurfaceSndPrefs	m_areaOfEffect	0x70
BoltSurfaceSndPrefs	m_outOfRangeDoEffects	0x70
BoltSurfaceSndPrefs	m_runAwayRangeOffset	0x78
BoltSurfaceSndPrefs	m_fireRumbleIntensity	0x78
BoltSurfaceSndPrefs	m_areaHurtsShooter	0x7C
BoltSurfaceSndPrefs	m_fireRumbleDuration	0x7C
BoltSurfaceSndPrefs	m_rmbWhileHeld	0x80
BoltSurfaceSndPrefs	m_rmbWithShooterWhenFired	0x84
BoltSurfaceSndPrefs	m_rmbWithAmmoWhenFired	0x88
BoltSurfaceSndPrefs	m_useGenericDamage	0x8C
BoltSurfaceSndPrefs	m_rmbRicochete	0x8C
BoltSurfaceSndPrefs	m_forceHurtReaction	0x8D
BoltSurfaceSndPrefs	m_falloffToRange	0x8E
BoltSurfaceSndPrefs	m_rmbImpactStick	0x90
BoltSurfaceSndPrefs	m_rmbFade	0x94
BoltSurfaceSndPrefs	m_rmbPreFadeIntermittent	0x98
BoltSurfaceSndPrefs	m_rmbPreFadeFinish	0x9C
BoltSurfaceSndPrefs	m_preFadeTime	0xA0
BoltSurfaceSndPrefs	m_sndWhileHeld	0xA8
BoltSurfaceSndPrefs	m_sndWhileHeldOver	0xAC
BoltSurfaceSndPrefs	m_sndWhenFired	0xB0
BoltSurfaceSndPrefs	m_sndWhenFiredAux	0xB4
BoltSurfaceSndPrefs	m_sndClipReload	0xB8
BoltSurfaceSndPrefs	m_sndInAir	0xBC
BoltSurfaceSndPrefs	m_magnetismOption	0xC0
BoltSurfaceSndPrefs	m_sndWhileStuck	0xC0
BoltSurfaceSndPrefs	m_sndRicocheteAux	0xC4
BoltSurfaceSndPrefs	m_sndImpactStickAux	0xC8
BoltSurfaceSndPrefs	m_sndFade	0xCC
BoltSurfaceSndPrefs	m_sndPreFadeIntermittent	0xD0
BoltSurfaceSndPrefs	m_sndPreFadeFinish	0xD4
BoltSurfaceSndPrefs	m_sndSpeechFire	0xD8
BoltSurfaceSndPrefs	m_sndSpeechRelease	0xDC
BoltSurfaceSndPrefs	m_bounceOption	0xE0
BoltSurfaceSndPrefs	m_sndSpeechReload	0xE0
BoltSurfaceSndPrefs	m_continueIfBreakDestructable	0xEC
BoltSurfaceSndPrefs	m_canSetOffExplosives	0xED
BoltSurfaceSndPrefs	m_gibOnKill	0xF0
BoltSurfaceSndPrefs	m_gibOnMassiveDamage	0xF4
BoltSurfaceSndPrefs	m_stuckDrainInterval	0xF8
BoltSurfaceSndPrefs	m_stuckDrainDamage	0xFC
BoltSurfaceSndPrefs	m_stuckDrainStamina	0x100
BoltSurfaceSndPrefs	m_explosionSpeed	0x110
BoltSurfaceSndPrefs	m_attachedDamager	0x120
BoltSurfaceSndPrefs	m_sndSurfaceSetName	0x124
BoltSurfaceSndPrefs	m_fxFirePref	0x12C
BoltSurfaceSndPrefs	m_fxFireAttachPref	0x130
BoltSurfaceSndPrefs	m_fxStuckPref	0x134
BoltSurfaceSndPrefs	m_fxFadePref	0x138
BoltSurfaceSndPrefs	m_fxFlightPref	0x13C
BoltSurfaceSndPrefs	m_maxKnockSpeed	0x140
BoltSurfaceSndPrefs	m_fxWeapReloadPref	0x140
BoltSurfaceSndPrefs	m_maxKnockSpeedPlayer	0x144
BoltSurfaceSndPrefs	m_fxWeapChargeUpPref	0x144
BoltSurfaceSndPrefs	m_arcAngle	0x148
BoltSurfaceSndPrefs	m_fxWeapChargedPref	0x148
BoltSurfaceSndPrefs	m_arcDist	0x14C
BoltSurfaceSndPrefs	m_fxUntilPreFadeIntermittentPref	0x14C
BoltSurfaceSndPrefs	m_arcTime	0x150
BoltSurfaceSndPrefs	m_fxPreFadeFinishPref	0x150
BoltSurfaceSndPrefs	m_arcAngle2	0x154
BoltSurfaceSndPrefs	m_flightAnim	0x154
BoltSurfaceSndPrefs	m_arcDist2	0x158
BoltSurfaceSndPrefs	m_arcTime2	0x15C
BoltSurfaceSndPrefs	m_useArcTweaks	0x160
BoltSurfaceSndPrefs	m_impactAnim	0x160
BoltSurfaceSndPrefs	m_gravity	0x164
BoltSurfaceSndPrefs	m_speed	0x168
BoltSurfaceSndPrefs	m_gravity2	0x16C
BoltSurfaceSndPrefs	m_workAnim	0x16C
BoltSurfaceSndPrefs	m_speed2	0x170
BoltSurfaceSndPrefs	m_effectPref	0x174
BoltSurfaceSndPrefs	m_fadeAnim	0x178
BoltSurfaceSndPrefs	m_description	0x178
BoltSurfaceSndPrefs	m_descriptionLine2	0x17C
BoltSurfaceSndPrefs	m_artifactPrefs	0x180
BoltSurfaceSndPrefs	m_quickLoadoutSlot	0x18C
BoltSurfaceSndPrefs	m_upgradeLevel	0x190
BoltSurfaceSndPrefs	m_shouldPreserveAmmoCount	0x194
BoltSurfaceSndPrefs	m_fireType	0x19C
BoltSurfaceSndPrefs	m_fireRateNormal	0x1A0
BoltSurfaceSndPrefs	m_reloadTimeNormal	0x1A4
BoltSurfaceSndPrefs	m_fireRateMax	0x1A8
BoltSurfaceSndPrefs	m_fireRateRampUpCount	0x1AC
BoltSurfaceSndPrefs	m_fireRateRampDownTime	0x1B0
BoltSurfaceSndPrefs	m_chargeTime	0x1B4
BoltSurfaceSndPrefs	m_chargeBoolSnapover	0x1B8
BoltSurfaceSndPrefs	m_chargeIsAnalog	0x1BC
BoltSurfaceSndPrefs	m_breederBagRate	0x1C0
BoltSurfaceSndPrefs	m_raiseTime	0x1C4
BoltSurfaceSndPrefs	m_lowerTime	0x1C8
BoltSurfaceSndPrefs	m_useArmAnimations	0x1CC
BoltSurfaceSndPrefs	m_kick	0x1D0
BoltSurfaceSndPrefs	m_kickSeparateUp	0x1D4
BoltSurfaceSndPrefs	m_kickRampDelay	0x1D8
BoltSurfaceSndPrefs	m_kickRampUpTime	0x1DC
BoltSurfaceSndPrefs	m_kickRampDownTime	0x1E0
BoltSurfaceSndPrefs	m_kickRamped	0x1E4
BoltSurfaceSndPrefs	m_kickRampedSeparateUp	0x1E8
BoltSurfaceSndPrefs	m_kickRampPower	0x1EC
BoltSurfaceSndPrefs	m_kickTimeScale	0x1F0
BoltSurfaceSndPrefs	m_kickTimeScaleRamped	0x1F4
BoltSurfaceSndPrefs	m_kickScreenVertPeak	0x1F8
BoltSurfaceSndPrefs	m_kickScreenVertPeakRamped	0x1FC
BoltSurfaceSndPrefs	m_kickScreenHorizPeak	0x200
BoltSurfaceSndPrefs	m_kickScreenHorizPeakRamped	0x204
BoltSurfaceSndPrefs	m_kickScreenVertHold	0x208
BoltSurfaceSndPrefs	m_kickScreenVertHoldRamped	0x20C
BoltSurfaceSndPrefs	m_kickScreenHorizHold	0x210
BoltSurfaceSndPrefs	m_kickScreenHorizHoldRamped	0x214
BoltSurfaceSndPrefs	m_kickScreenRandomRotRange	0x218
BoltSurfaceSndPrefs	m_kickScreenRandomRotRangeRamped	0x21C
BoltSurfaceSndPrefs	m_kickScreenRandomRotBleed	0x220
BoltSurfaceSndPrefs	m_kickScreenRandomRotBleedRamped	0x224
BoltSurfaceSndPrefs	m_kickLeftRumblePeakRamped	0x228
BoltSurfaceSndPrefs	m_kickLeftRumblePeak	0x22C
BoltSurfaceSndPrefs	m_kickRightRumblePeakRamped	0x230
BoltSurfaceSndPrefs	m_kickRightRumblePeak	0x234
BoltSurfaceSndPrefs	m_initialLoadout	0x238
BoltSurfaceSndPrefs	m_reticlePixelRadius	0x23C
BoltSurfaceSndPrefs	m_prefsCharged	0x2A4
BoltSurfaceSndPrefs	m_activateDuration	0x2AC
BoltSurfaceSndPrefs	m_callRadius	0x2AC
BoltSurfaceSndPrefs	m_attackCritter	0x2AC
BoltSurfaceSndPrefs	m_viewRadius	0x2B0
BoltSurfaceSndPrefs	m_attackDistance	0x2B0
BoltSurfaceSndPrefs	m_maxAffected	0x2B4
BoltSurfaceSndPrefs	m_agitDistance	0x2B4
BoltSurfaceSndPrefs	m_sendToDistanceBias	0x2B8
BoltSurfaceSndPrefs	m_damagePerSecond	0x2B8
BoltSurfaceSndPrefs	m_sendToDistanceHold	0x2BC
BoltSurfaceSndPrefs	m_relaunchBoltPref	0x2BC
BoltSurfaceSndPrefs	m_flopMultiplier	0x2C0
BoltSurfaceSndPrefs	m_sndAttackSolo	0x2D4
BoltSurfaceSndPrefs	m_sndAttackMany	0x2D8
BoltSurfaceSndPrefs	m_sndOof	0x2DC
BoltSurfaceSndPrefs	m_sndManyResponseBase	0x2E0
BountyAssignmentPrefs	m_bountyDescription	0x10
BountyAssignmentPrefs	m_targetObjectName	0x14
BountyAssignmentPrefs	m_targetObjectNameStringID	0x20
BountyPostPrefs	m_rewardFactor	0x10
BountyPostPrefs	m_uiSWF	0x14
CameraContext	m_allowInput	0x0
CameraContext	m_pitch	0x4
CameraContext	m_yaw	0x8
CameraContext	m_pitchVel	0xC
CameraContext	m_yawVel	0x10
CameraVolumeTag	m_cameraName	0x70
CameraVolumeTag	m_transIn	0x74
CameraVolumeTag	m_transInEase	0x78
CameraVolumeTag	m_transOutDefault	0x7C
CameraVolumeTag	m_transOutDefaultEase	0x80
CameraVolumeTag	m_allowPOVCam	0x84
CameraVolumeTag	m_inPipe	0x85
CameraVolumeTag	m_inBoat	0x86
CameraVolumeTag	m_inOthers	0x87
CardEffectInst	m_initialOuterRadius	0x58
CardEffectInst	m_initialInnerRadius	0x5C
CardEffectInst	m_finalOuterRadius	0x60
CardEffectInst	m_finalInnerRadius	0x64
CardEffectInst	m_textureName	0x70
CardEffectInst	m_yDirection	0x78
CardEffectInst	m_xDirection	0x84
CinematicCameraTag	m_fov	0x60
CinematicCameraTag	m_followObject	0x64
CinematicCameraTag	m_animationToken	0x68
CinematicCameraTag	m_timeStart	0x6C
CinematicCameraTag	m_timeEnd	0x70
CollectablePrefs	m_exhaustRecoverTime	0x8
CollectablePrefs	m_damageType	0xC
CollectablePrefs	m_gibsActor	0x10
CollectablePrefs	m_response	0x14
CollectablePrefs	m_attachInitialCount	0x18
CollectablePrefs	m_countMin	0x1C
CollectablePrefs	m_attachEffect	0x1C
CollectablePrefs	m_countMax	0x20
CollectablePrefs	m_attachDamage	0x20
CollectablePrefs	m_respawnDelay	0x24
CollectablePrefs	m_attachDuration	0x24
CollectablePrefs	m_artifactPrefsID	0x28
CollectablePrefs	m_attachDurationRandomness	0x28
CollectablePrefs	m_typeID	0x2C
CollectablePrefs	m_attachInterval	0x2C
CollectablePrefs	m_attachIntervalRandomness	0x30
CollectablePrefs	m_attachKnockSpeed	0x34
CollectablePrefs	m_attachKnockTracksFacing	0x38
CollectablePrefs	m_playHurtInterval	0x3C
CollectablePrefs	m_playHurtRandomness	0x40
CollectablePrefs	m_runSpeedMultiplier	0x44
CollectablePrefs	m_responsesUseUpperBody	0x48
CollectablePrefs	m_runDistOverride	0x4C
CollectableSpawner	m_items	0x10
CollectableSpawner	m_facing	0x60
CollectableSpawner	m_fieldInRadians	0x68
CollectableSpawner	m_radius	0x6C
CollectableSpawner	m_guardRadius	0x70
CollectableSpawner	m_priority	0x78
CollectableSpawner	m_filter	0x7C
CollectableSpawner	m_startActive	0x80
CollectableSpawner	m_maxOccupants	0x84
CollectableSpawner	m_filterNormal	0x88
CollectableSpawner	m_filterAgit	0x89
CollectableSpawner	m_filterCombat	0x8A
CollectableSpawner	m_filterPanic	0x8B
CoverDuration	m_6thSenseDistance	0x0
CoverDuration	m_seeDistance	0x4
CoverDuration	m_sightNormal	0x4
CoverDuration	m_seeAbove	0x8
CoverDuration	m_seeBelow	0xC
CoverDuration	m_horizontalAngleDeg	0x10
CoverDuration	m_verticalAngleDeg	0x14
CoverDuration	m_instantSightDistance	0x18
CoverDuration	m_hideVolSeeDistance	0x1C
CoverDuration	m_sightAgit	0xA8
CoverDuration	m_sightCombat	0x14C
CoverDuration	m_sightPanic	0x1F0
CoverDuration	m_allowPanic	0x294
CoverDuration	m_minWaitForConversation	0x298
CoverDuration	m_maxWaitForConversation	0x29C
CoverDuration	m_relaxAgitatedToNormal	0x2A0
CoverDuration	m_attackParams	0x2A8
CritterCuePrefs	m_takeDamageCue	0x14
CritterCuePrefs	m_congratulatoryCue	0x18
CritterCuePrefs	m_selectedFromHUDCue	0x1C
CritterCuePrefs	m_reloadedCue	0x20
CritterCuePrefs	m_idleColorCue	0x24
CritterCuePrefs	m_knockCue	0x28
CritterCuePrefs	m_playerJumpCue	0x2C
CritterCuePrefs	m_playerLandCue	0x30
CritterPathPrefs	m_count	0x10
CritterPathPrefs	m_spawnCapacity	0x14
CritterPathPrefs	m_playerFleeDistance	0x18
CritterPathPrefs	m_npcFleeDistance	0x1C
CritterPathPrefs	m_travelSpeed	0x20
CritterPathPrefs	m_fleeSpeed	0x24
CritterPathPrefs	m_spawnFrequency	0x28
CritterPathPrefs	m_spawnRandomness	0x2C
CritterPathPrefs	m_stopFrequency	0x30
CritterPathPrefs	m_stopRandomness	0x34
CritterPathPrefs	m_spawnEnabled	0x38
CritterPathTag	m_controls	0x60
CritterPathTag	m_prefPath	0x6C
CritterPathTag	m_spawnPrefOverride	0x70
CritterPathTag	m_playerRangeOverride	0x84
CritterPathTag	m_npcRangeOverride	0x88
CritterPrefs	m_damage	0x4
CritterPrefs	m_damageScaleLowSpeed	0x8
CritterPrefs	m_damageDestructable	0xC
CritterPrefs	m_geoScale	0x14
CritterPrefs	m_exhaustedRecoverTime	0x14
CritterPrefs	m_knockbackVel	0x18
CritterPrefs	m_range	0x1C
CritterPrefs	m_sndStart	0x20
CritterPrefs	m_sndStartSpeech	0x24
CritterPrefs	m_fxStart	0x28
CritterPrefs	m_fxStartAir	0x2C
CritterPrefs	m_rmbStart	0x30
CritterPrefs	m_sndImpact	0x34
CritterPrefs	m_rmbImpact	0x38
CritterPrefs	m_sndImpactNonHealth	0x3C
CritterPrefs	m_sndImpactNonHealthSpeech	0x40
CritterPrefs	m_fxImpactNonHealth	0x44
CritterPrefs	m_rmbImpactNonHealth	0x48
CritterPrefs	m_fxImpactBase	0x4C
CritterPrefs	m_useSuperDamageCue	0x64
CritterPrefs	m_type	0x98
CritterPrefs	m_boltPref	0x9C
CritterPrefs	m_critterTypeINTERNAL	0xA8
CritterPrefs	m_motionSphereHeight	0xBC
CritterPrefs	m_motionSphereRadius	0xC0
CritterPrefs	m_spawnFrequencyRare	0xC4
CritterPrefs	m_spawnFrequencyNormal	0xC8
CritterPrefs	m_spawnFrequencyFrequent	0xCC
CritterPrefs	m_spawnRandomnessNormal	0xD0
CritterPrefs	m_spawnRandomnessHigh	0xD4
CritterPrefs	m_stopFrequencyRare	0xD8
CritterPrefs	m_stopFrequencyNormal	0xDC
CritterPrefs	m_stopFrequencyFrequent	0xE0
CritterPrefs	m_stopRandomnessNormal	0xE4
CritterPrefs	m_stopRandomnessHigh	0xE8
CritterPrefs	m_animationConfigFile	0xEC
CritterPrefs	m_pathWalkAnim	0xF0
CritterPrefs	m_pathDieAnim	0xF4
CritterPrefs	m_onCrossbowIdleIntervalMin	0xF8
CritterPrefs	m_onCrossbowIdleIntervalMax	0xFC
CritterPrefs	m_onCrossbowTakeDamageIntervalMin	0x100
CritterPrefs	m_onCrossbowTakeDamageIntervalMax	0x104
CritterPrefs	m_poolIndexINTERNAL	0x108
CritterPrefs	m_effectID	0x11C
CritterPrefs	m_spawnEffectID	0x120
CritterPrefs	m_soundID	0x124
DamagePrefs	m_damageCue	0x10
DamagePrefs	m_damageSpeech	0x14
DamagePrefs	m_animations	0x14
DamagePrefs	m_deathSpeech	0x18
DamagePrefs	m_forceOverridePerVolumeSettings	0x20
DamagePrefs	m_affectsDeadGuys	0x21
DamagePrefs	m_useNPCSettingForPlayer	0x22
DamagePrefs	m_onlyInVolume	0x23
DamagePrefs	m_knocksOffPipes	0x24
DamagePrefs	m_player	0x28
DamagePrefs	m_npc	0x78
DamagePrefs	m_sndResponseBase	0xC8
DamageVolumeTag	m_damageRatePlayer	0x70
DamageVolumeTag	m_damageRateNPC	0x74
DamageVolumeTag	m_prefs	0x78
DamageVolumeTag	m_startsActive	0x7C
DecoratorIlluminationTag	m_tagName	0x8
DecoratorIlluminationTag	m_pathToken	0xC
DecoratorIlluminationTag	m_vertexColorStreamName	0x10
DecoratorIlluminationTag	m_illuminationList	0x14
DecoratorPrefs	m_alphaBlend	0x14
DecoratorPrefs	m_alphaRef	0x18
DecoratorPrefs	m_fadeOutInDistance	0x1C
DecoratorPrefs	m_fadeDistance	0x20
DecoratorPrefs	m_forceFullRotation	0x2C
DecoratorTag	m_prefsName	0x8
DecoratorTag	m_decoratorResourceToken	0xC
DefaultArmor	m_geo	0x4
DefaultArmor	m_motion	0x8
DestructablePrefs	m_maxHealth	0x10
DestructablePrefs	m_killOnAnyDamage	0x14
DestructablePrefs	m_killOnPlayerContact	0x15
DestructablePrefs	m_killOnNPCContact	0x16
DestructablePrefs	m_acceptDamageFromStranger	0x17
DestructablePrefs	m_effectPrefsID	0x18
DestructablePrefs	m_effectDamagePrefsID	0x1C
DestructablePrefs	m_spawnCollectablesPrefsID	0x20
DestructablePrefs	m_rumbleStateChange	0x24
DestructablePrefs	m_rumbleStateChangeDuration	0x28
DestructablePrefs	m_rumbleDestruct	0x2C
DestructablePrefs	m_rumbleDestructDuration	0x30
DestructablePrefs	m_cueDestruct	0x34
DestructablePrefs	m_cueDamage	0x38
DestructablePrefs	m_ambientCue	0x3C
DestructablePrefs	m_deathBlowAlignEffectsToVelocity	0x40
DestructablePrefs	m_centerZOffset	0x4C
DestructablePrefs	m_mass	0x50
DestructablePrefs	m_particleVelocityMin	0x54
DestructablePrefs	m_particleVelocityMax	0x58
DestructablePrefs	m_damageByRam	0x5C
DestructablePrefs	m_damageByBeat	0x5D
DestructablePrefs	m_damageByShoot	0x5E
DestructablePrefs	m_damageByExplosion	0x5F
DestructablePrefs	m_damageByNPCShoot	0x60
DestructablePrefs	m_damageByNPCExplosion	0x61
DestructablePrefs	m_damageByNPCBeat	0x62
DestructablePrefs	m_updateNavOnChange	0x63
DestructablePrefs	m_animation	0x64
DestructablePrefs	m_animPauseLo	0x68
DestructablePrefs	m_animPauseHi	0x6C
DestructablePrefs	m_animNumLoopsLo	0x70
DestructablePrefs	m_animNumLoopsHi	0x74
DestructablePrefs	m_animSpeedLo	0x78
DestructablePrefs	m_animSpeedHi	0x7C
DestructablePrefs	m_onDestroyResetIntoPurgatory	0x80
DestructablePrefs	m_aimRadius	0x84
DiskEffectInst	m_radiusAccel	0x58
DiskEffectInst	m_initRadiusVel	0x5C
DiskEffectInst	m_initRadius	0x60
DiskEffectInst	m_initHeightVel	0x64
DiskEffectInst	m_heightAccel	0x68
DiskEffectInst	m_initHeight	0x6C
DiskEffectInst	m_initAlpha	0x70
DiskEffectInst	m_finalAlpha	0x74
DiskEffectInst	m_bumpTextureName	0x78
DreadlockSet	m_effectLifetime	0x10
DreadlockSet	m_angularVelocity	0x18
DreadlockSet	m_rotationAxis	0x1C
DreadlockSet	m_centerOfRotation	0x28
DreadlockSet	m_debugLoop	0x34
DreadlockSet	m_startFadeRadius	0x38
DreadlockSet	m_endFadeRadius	0x3C
DreadlockSet	m_glareStartFadeRadius	0x40
DreadlockSet	m_glareEndFadeRadius	0x44
