address	size	name	hints
0x40B3B0	160	OrbitCamera::vfunc8	
0x40B450	512		.\Camera\Camera.cpp
0x40B650	96	OrbitCamera::vfunc20	
0x40B6B0	144	OrbitCamera::vfunc15	
0x40B740	144	OrbitCamera::vfunc18	
0x40B7D0	112		
0x40B840	64		
0x40B880	304	OrbitCamera::vfunc26	
0x40B9B0	160		
0x40BA50	640		
0x40BCD0	208		
0x40BDA0	80		
0x40BDF0	128		
0x40BE70	96		
0x40BED0	144		.\Camera\Camera.cpp
0x40BF60	80		
0x40BFB0	32		
0x40BFD0	48		
0x40C000	64		
0x40C040	16		
0x40C050	64		
0x40C090	80		
0x40C0E0	192		
0x40C1A0	512		
0x40C3A0	126		
0x40C41E	978		
0x40C7F0	144		
0x40C880	416		
0x40CA20	880		
0x40CD90	288		
0x40CEB0	32		
0x40CED0	96		
0x40CF30	64		
0x40CF70	512		
0x40D170	112		
0x40D1E0	560		
0x40D410	208		
0x40D4E0	1024		
0x40D8E0	480		
0x40DAC0	64		
0x40DB00	80		
0x40DB50	80		
0x40DBA0	48		
0x40DBD0	32		
0x40DBF0	48		
0x40DC20	16		
0x40DC30	48		
0x40DC60	112		
0x40DCD0	48		
0x40DD00	32		
0x40DD20	96		
0x40DD80	48		
0x40DDB0	1760		
0x40E490	80		
0x40E4E0	32		
0x40E500	176		
0x40E5B0	224		
0x40E690	80		
0x40E6E0	80		
0x40E730	160		
0x40E7D0	112		
0x40E840	416		Camera Right should never fail to project onto the XY plane! | .\Camera\CameraMgr.cpp | Camera Right and Forward BOTH failed to project onto the XY plane!
0x40E9E0	448		Camera Right should never fail to project onto the XY plane! | .\Camera\CameraMgr.cpp
0x40EBA0	160		
0x40EC40	208		
0x40ED10	624		
0x40EF80	64		
0x40EFC0	224		
0x40F0A0	608		
0x40F300	48		
0x40F330	144		
0x40F3C0	64		
0x40F400	160		
0x40F4A0	112		
0x40F510	240		
0x40F600	112		
0x40F670	48		
0x40F6A0	80		
0x40F6F0	32		
0x40F710	64		
0x40F750	368		
0x40F8C0	288		
0x40F9E0	1792		
0x4100E0	128		
0x410160	176		
0x410210	144		
0x4102A0	160		
0x410340	752		
0x410630	480		
0x410810	112		
0x410880	160		
0x410920	1072		
0x410D50	48		
0x410D80	32		
0x410DA0	592		
0x410FF0	144		
0x411080	224		
0x411160	160		
0x411200	80		
0x411250	896		
0x4115D0	80		
0x411620	240		
0x411710	112		
0x411780	80		
0x4117D0	112		
0x411840	80		
0x411890	80		
0x4118E0	80		
0x411930	112		
0x4119A0	80		
0x4119F0	64		
0x411A30	64		
0x411A70	64		
0x411AB0	64		
0x411AF0	16		
0x411B00	32		
0x411B20	112		
0x411B90	80		
0x411BE0	64		
0x411C20	48		
0x411C50	48		
0x411C80	112		
0x411CF0	176		
0x411DA0	96		
0x411E00	112		
0x411E70	256		
0x411F70	96		
0x411FD0	80		
0x412020	240		
0x412110	304		
0x412240	80		
0x412290	384		
0x412410	128		
0x412490	176		
0x412540	256		
0x412640	64		
0x412680	304		
0x4127B0	64		
0x4127F0	96		
0x412850	192		
0x412910	112		
0x412980	256		
0x412A80	448		
0x412C40	128		
0x412CC0	96		
0x412D20	368		
0x412E90	160		
0x412F30	112		
0x412FA0	256		
0x4130A0	320		
0x4131E0	208		
0x4132B0	112		
0x413320	720		
0x4135F0	96		
0x413650	512		
0x413850	96		
0x4138B0	608		
0x413B10	176		
0x413BC0	192		
0x413C80	80		
0x413CD0	112		
0x413D40	416		
0x413EE0	1072		
0x414310	256		
0x414410	176		
0x4144C0	80		
0x414510	416		
0x4146B0	112		
0x414720	208		
0x4147F0	1888		
0x414F50	768		
0x415250	208		
0x415320	64		
0x415360	32		
0x415380	64		
0x4153C0	48		
0x4153F0	80		
0x415440	64		
0x415480	64		
0x4154C0	464		
0x415690	880	FixedCamera::vfunc27	
0x415A00	896		
0x415D80	336		No code for this fly camera scheme | .\Camera\FlyCamera.cpp
0x415ED0	192		
0x415F90	160	FlyCamera::vfunc7	
0x416030	1584	FlyCamera::vfunc27	
0x416660	64		
0x4166A0	208		
0x416770	144		
0x416800	128		
0x416880	160		
0x416920	192		
0x4169E0	144		
0x416A70	32		
0x416A90	160	FollowCamera::vfunc7	
0x416B30	224		
0x416C10	1760	FollowCamera::vfunc27	
0x4172F0	384		
0x417470	384		
0x4175F0	368		
0x417760	32		
0x417780	304		
0x4178B0	64		
0x4178F0	32		
0x417910	64		
0x417950	144		
0x4179E0	128		
0x417A60	1360		
0x417FB0	160		
0x418050	160		
0x4180F0	112		
0x418160	224		Degenerate vector in ComputePitch! | .\Camera\FollowEngine.cpp
0x418240	160		
0x4182E0	48		
0x418310	704		
0x4185D0	512		
0x4187D0	379		
0x41894B	229		
0x418A30	144		
0x418AC0	320		
0x418C00	896		
0x418F80	1360		
0x4194D0	256	CameraMoveCallbacks::vfunc0	
0x4195D0	9408		
0x41BA90	64		
0x41BAD0	80		
0x41BB20	128		
0x41BBA0	16		
0x41BBB0	80		
0x41BC00	240		
0x41BCF0	128		
0x41BD70	384		
0x41BEF0	672		
0x41C190	176		
0x41C240	416		
0x41C3E0	144		
0x41C470	224		
0x41C550	288		
0x41C670	1008		
0x41CA60	304		No code for this orbit camera scheme | .\Camera\OrbitCamera.cpp
0x41CB90	96		
0x41CBF0	416	OrbitCamera::vfunc7	
0x41CD90	1088	OrbitCamera::vfunc27	
0x41D1D0	480		
0x41D3B0	160		
0x41D450	832		
0x41D790	224	Actor::vfunc41	
0x41D870	384		
0x41D9F0	464		
0x41DBC0	336	Actor::vfunc5	
0x41DD10	976	Actor::vfunc51	
0x41E0E0	512	NPC::vfunc16	.\Actor\Actor.cpp
0x41E2E0	144		
0x41E370	448		
0x41E530	80		
0x41E580	224		
0x41E660	64		
0x41E6A0	1040		
0x41EAB0	224		
0x41EB90	368		
0x41ED00	400		
0x41EE90	352		
0x41EFF0	384		
0x41F170	112		
0x41F1E0	176		
0x41F290	80		
0x41F2E0	192		
0x41F3A0	240		Phv
0x41F490	1408	Actor::vfunc17	
0x41FA10	448		
0x41FBD0	128		
0x41FC50	240		
0x41FD40	304		
0x41FE70	304		
0x41FFA0	1200	PlayerImpl::vfunc70	
0x420450	352		
0x4205B0	1472	Actor::vfunc23	
0x420B70	144	Actor::vfunc24	
0x420C00	1344		.\Actor\Actor.cpp
0x421140	80		
0x421190	64		
0x4211D0	80		
0x421220	128		
0x4212A0	80		
0x4212F0	80		
0x421340	96		
0x4213A0	208		
0x421470	304		
0x4215A0	144		
0x421630	80		
0x421680	80		
0x4216D0	80		
0x421720	80		
0x421770	96		
0x4217D0	288		
0x4218F0	96		
0x421950	32		
0x421970	96		
0x4219D0	80		
0x421A20	32		
0x421A40	48		
0x421A70	80		
0x421AC0	1440		
0x422060	560		
0x422290	80		
0x4222E0	304		
0x422410	96		
0x422470	32		
0x422490	144		
0x422520	64		
0x422560	64		
0x4225A0	256		
0x4226A0	512		
0x4228A0	256		
0x4229A0	512		
0x422BA0	256		
0x422CA0	416		
0x422E40	608		
0x4230A0	1200	ActorSpawner::vfunc17	
0x423550	48		
0x423580	208		
0x423650	304		
0x423780	256		
0x423880	384		
0x423A00	144		
0x423A90	96		
0x423AF0	112		
0x423B60	80		
0x423BB0	258		
0x423CB2	46		
0x423CE0	192		
0x423DA0	80		
0x423DF0	80		
0x423E40	32		
0x423E60	144		
0x423EF0	112		
0x423F60	80		
0x423FB0	176		
0x424060	144		
0x4240F0	496		
0x4242E0	208		
0x4243B0	368		
0x424520	592		
0x424770	368		
0x4248E0	320		
0x424A20	304		
0x424B50	32		
0x424B70	224		
0x424C50	336		
0x424DA0	1616	GloktigiPrefs::vfunc20	
0x4253F0	384		
0x425570	352		
0x4256D0	304		
0x425800	32		
0x425820	80		
0x425870	224		
0x425950	144		
0x4259E0	112		
0x425A50	288		
0x425B70	576		
0x425DB0	576		
0x425FF0	1648		
0x426660	480		
0x426840	1760		
0x426F20	539	NPC::vfunc29	
0x42713B	53		
0x427170	2624	NPC::vfunc78	
0x427BB0	48		
0x427BE0	64		
0x427C20	3248		
0x4288D0	880		
0x428C40	560		
0x428E70	480	NPC::vfunc42	
0x429050	128		
0x4290D0	96		
0x429130	64		
0x429170	144		
0x429200	560		
0x429430	256		Bad bad!! | .\Actor\NPC.cpp
0x429530	256		
0x429630	1312		
0x429B50	176		
0x429C00	176		
0x429CB0	2944	NPC::vfunc23	
0x42A830	64		
0x42A870	336		
0x42A9C0	352	NPC::vfunc1	
0x42AB20	688		
0x42ADD0	1104		Phv
0x42B220	1008		
0x42B610	256		
0x42B710	256		
0x42B810	1280		
0x42BD10	3536		
0x42CAE0	5152		
0x42DF00	800		
0x42E220	48		
0x42E250	1616		npc_ | zonebundle
0x42E8A0	96		
0x42E900	624		
0x42EB70	144		
0x42EC00	288		
0x42ED20	304		
0x42EE50	112		
0x42EEC0	64		
0x42EF00	96		
0x42EF60	224		
0x42F040	208		
0x42F110	256		
0x42F210	352		
0x42F370	144		
0x42F400	160		
0x42F4A0	64		
0x42F4E0	128		
0x42F560	96		
0x42F5C0	80		
0x42F610	304		
0x42F740	32		
0x42F760	176		
0x42F810	112		
0x42F880	160		
0x42F920	80		
0x42F970	80		
0x42F9C0	144		
0x42FA50	80		
0x42FAA0	64		
0x42FAE0	176		
0x42FB90	80		
0x42FBE0	32		
0x42FC00	64		
0x42FC40	304		
0x42FD70	352		
0x42FED0	211		
0x42FFA3	173		
0x430050	96		
0x4300B0	96		
0x430110	64		
0x430150	32		
0x430170	224		
0x430250	432		
0x430400	368		
0x430570	112		
0x4305E0	64		
0x430620	352		
0x430780	128		
0x430800	320		
0x430940	192		
0x430A00	144		
0x430A90	272		
0x430BA0	240		
0x430C90	208		
0x430D60	48		
0x430D90	80		
0x430DE0	320		
0x430F20	512		
0x431120	1024		
0x431520	448		
0x4316E0	800		
0x431A00	176		
0x431AB0	1440	NPCPrefs::vfunc20	
0x432050	144		
0x4320E0	192		
0x4321A0	96		
0x432200	496		
0x4323F0	336		
0x432540	128		
0x4325C0	128		
0x432640	96		
0x4326A0	1840		
0x432DD0	144		
0x432E60	272		../Engine\Core/CVarBodyArray.h
0x432F70	368		
0x4330E0	368		
0x433250	368		
0x4333C0	368		
0x433530	320		
0x433670	320		
0x4337B0	320		
0x4338F0	320		
0x433A30	112		
0x433AA0	64		
0x433AE0	304		
0x433C10	304		
0x433D40	304		
0x433E70	304		
0x433FA0	32		
0x433FC0	32		
0x433FE0	32		
0x434000	32		
0x434020	64		
0x434060	64		
0x4340A0	64		
0x4340E0	64		
0x434120	144		
0x4341B0	32		
0x4341D0	144		
0x434260	192		
0x434320	48		
0x434350	656		
0x4345E0	80		
0x434630	32		
0x434650	32		
0x434670	160		
0x434710	256		
0x434810	960		
0x434BD0	272	Critter::vfunc37	
0x434CE0	320	Critter::vfunc53	
0x434E20	480	Critter::vfunc17	
0x435000	1008	Critter::vfunc1	
0x4353F0	624		
0x435660	400		
0x4357F0	576		
0x435A30	272		
0x435B40	672	Critter::vfunc52	should not get here in SetFacing | .\Actor\Critter\Critter.cpp
0x435DE0	384		
0x435F60	304		
0x436090	32		
0x4360B0	144		
0x436140	144		
0x4361D0	176		
0x436280	400		
0x436410	240		
0x436500	144		
0x436590	160		
0x436630	464		
0x436800	64		
0x436840	160		
0x4368E0	320		
0x436A20	448		
0x436BE0	112		
0x436C50	480		
0x436E30	208		
0x436F00	1392		
0x437470	416		
0x437610	368	CAImpl::vfunc19	
0x437780	1264	CAImpl::vfunc27	
0x437C70	176		
0x437D20	208		
0x437DF0	375		
0x437F67	217		
0x438040	240		
0x438130	144		
0x4381C0	416		
0x438360	2672		
0x438DD0	256		
0x438ED0	256		
0x438FD0	256		
0x4390D0	128		
0x439150	208		
0x439220	576		
0x439460	176		
0x439510	384		
0x439690	224		
0x439770	736		
0x439A50	64		
0x439A90	1120		
0x439EF0	848	CAAImpl::vfunc27	
0x43A240	64		
0x43A280	96		
0x43A2E0	32		
0x43A300	160		
0x43A3A0	1136		
0x43A810	144		
0x43A8A0	944	CPAImpl::vfunc24	
0x43AC50	64		
0x43AC90	208		
0x43AD60	416		
0x43AF00	384		
0x43B080	496		
0x43B270	576		
0x43B4B0	176		
0x43B560	176		
0x43B610	272		
0x43B720	304		
0x43B850	192		
0x43B910	560		
0x43BB40	2128		
0x43C390	32		
0x43C3B0	272		
0x43C4C0	32		
0x43C4E0	160		
0x43C580	112		
0x43C5F0	176		
0x43C6A0	1408		
0x43CC20	96		
0x43CC80	240		
0x43CD70	128		
0x43CDF0	176		
0x43CEA0	384		
0x43D020	240		
0x43D110	144		
0x43D1A0	464		
0x43D370	144		
0x43D400	80		
0x43D450	96		
0x43D4B0	272		
0x43D5C0	176		
0x43D670	96		
0x43D6D0	80		
0x43D720	192		
0x43D7E0	112		
0x43D850	112		
0x43D8C0	80		
0x43D910	16		
0x43D920	368		
0x43DA90	128		
0x43DB10	176		
0x43DBC0	96		
0x43DC20	64		
0x43DC60	144		
0x43DCF0	80		
0x43DD40	80		
0x43DD90	192		
0x43DE50	448		
0x43E010	304		
0x43E140	112		
0x43E1B0	80		
0x43E200	32		
0x43E220	80		
0x43E270	64		
0x43E2B0	144		
0x43E340	224		
0x43E420	112		
0x43E490	96		
0x43E4F0	384		
0x43E670	176		
0x43E720	144		
0x43E7B0	800		
0x43EAD0	304		Critter can't go away because of dangling refs! | .\Actor\Critter\CritterPools.cpp
0x43EC00	128		
0x43EC80	112		
0x43ECF0	384		
0x43EE70	64		
0x43EEB0	64		
0x43EEF0	176		
0x43EFA0	240		
0x43F090	160		
0x43F130	112		
0x43F1A0	64		
0x43F1E0	80		
0x43F230	176		
0x43F2E0	112		
0x43F350	80		
0x43F3A0	64		
0x43F3E0	240		
0x43F4D0	272		
0x43F5E0	560		
0x43F810	1440		
0x43FDB0	112		
0x43FE20	352		
0x43FF80	128		
0x440000	208		
0x4400D0	288		
0x4401F0	784		
0x440500	144		
0x440590	816		
0x4408C0	1792		
0x440FC0	80		
0x441010	1024		
0x441410	768		
0x441710	176		
0x4417C0	480		
0x4419A0	432		
0x441B50	336		
0x441CA0	32		
0x441CC0	2112		
0x442500	176		
0x4425B0	112		
0x442620	272		
0x442730	16		
0x442740	224		
0x442820	2544	PlayerPrefs::vfunc20	
0x443210	400		
0x4433A0	272		
0x4434B0	2720		\data\textures\utility\reticle.tga | \data\textures\weapons\ammo_icons\empty_icon.tga
0x443F50	192		
0x444010	144		
0x4440A0	224		
0x444180	1040		
0x444590	3440		Scripts\Steef.foo
0x445300	5168		
0x446730	400		
0x4468C0	640		Someone called Destroy on the Player!! | .\Player\PlayerImpl.cpp
0x446B40	512		
0x446D40	80		
0x446D90	73	PlayerImpl::vfunc99	
0x446DD9	1127		
0x447240	1648		
0x4478B0	656	PlayerImpl::vfunc137	
0x447B40	80		
0x447B90	496		
0x447D80	2528		
0x448760	224		
0x448840	672		
0x448AE0	3088		
0x4496F0	496		
0x4498E0	841		
0x449C29	957		
0x449FE6	12		
0x449FF2	2926		
0x44AB60	96		
0x44ABC0	2240		+A-A+
0x44B480	48		
0x44B4B0	352	PlayerImpl::vfunc94	
0x44B610	240		
0x44B700	1328		
0x44BC30	896		
0x44BFB0	256		
0x44C0B0	384		
0x44C230	64		
0x44C270	64		
0x44C2B0	656		.\Player\PlayerImpl.cpp
0x44C540	688		
0x44C7F0	240		
0x44C8E0	48		
0x44C910	144		
0x44C9A0	848	PlayerImpl::vfunc158	
0x44CCF0	1136		
0x44D160	2944		
0x44DCE0	288		
0x44DE00	864		
0x44E160	64		
0x44E1A0	2368	PlayerImpl::vfunc23	
0x44EAE0	256		
0x44EBE0	2416		
0x44F550	2560	PlayerImpl::vfunc17	
0x44FF50	1024	PlayerImpl::vfunc146	
0x450350	368		
0x4504C0	192		
0x450580	432		
0x450730	416		
0x4508D0	224		
0x4509B0	608		
0x450C10	192	PlayerImpl::vfunc175	
0x450CD0	976		
0x4510A0	96		
0x451100	576		
0x451340	304		
0x451470	1440	PlayerImpl::vfunc170	
0x451A10	2944	PlayerImpl::vfunc172	
0x452590	320		
0x4526D0	64		
0x452710	464	PlayerImpl::vfunc105	bad case | .\Player\PlayerImpl.cpp
0x4528E0	688	PlayerImpl::vfunc110	
0x452B90	176		
0x452C40	160		
0x452CE0	1088		
0x453120	880		
0x453490	448		
0x453650	112		
0x4536C0	96		
0x453720	784		
0x453A30	144		
0x453AC0	176		
0x453B70	80		
0x453BC0	80		
0x453C10	80		
0x453C60	96		
0x453CC0	80		
0x453D10	192		
0x453DD0	64		
0x453E10	128		
0x453E90	80		
0x453EE0	80		
0x453F30	96		
0x453F90	80		
0x453FE0	368		
0x454150	112		
0x4541C0	176		
0x454270	384		
0x4543F0	48		
0x454420	32		
0x454440	112		
0x4544B0	144		
0x454540	32		
0x454560	144		
0x4545F0	80		
0x454640	112		
0x4546B0	368		
0x454820	160		
0x4548C0	320		
0x454A00	80		
0x454A50	96		
0x454AB0	128		
0x454B30	112		
0x454BA0	112		
0x454C10	128		
0x454C90	96		
0x454CF0	112		
0x454D60	112		
0x454DD0	96		
0x454E30	80		
0x454E80	128		
0x454F00	304		
0x455030	304		
0x455160	64		
0x4551A0	64		
0x4551E0	304		
0x455310	96		
0x455370	64		
0x4553B0	320		
0x4554F0	48		
0x455520	240		
0x455610	112		
0x455680	64		
0x4556C0	32		
0x4556E0	32		
0x455700	32		
0x455720	128		
0x4557A0	288		
0x4558C0	64		
0x455900	64		
0x455940	176		
0x4559F0	192		
0x455AB0	80		
0x455B00	80		
0x455B50	96		
0x455BB0	272		
0x455CC0	608		XYABXY | {{}}{{}} | 26XXYYBBAA
0x455F20	528		
0x456130	800		
0x456450	80		
0x4564A0	1616		
0x456AF0	3664		
0x457940	480		
0x457B20	3056		
0x458710	336		
0x458860	64		
0x4588A0	96		
0x458900	464		Player can't go away because of dangling refs! | .\Player\PlayerMgr.cpp
0x458AD0	352		
0x458C30	96		
0x458C90	80		
0x458CE0	352		
0x458E40	224		
0x458F20	80		
0x458F70	272		
0x459080	80		
0x4590D0	688		
0x459380	48		
0x4593B0	80		
0x459400	64		
0x459440	144		
0x4594D0	32		
0x4594F0	160		
0x459590	32		
0x4595B0	128		
0x459630	144		
0x4596C0	112		
0x459730	96		
0x459790	432		Unsupported numPanes | .\Player\PlayerMgr.cpp
0x459940	336		
0x459A90	144		invalid view mode!! | .\Player\PlayerMgr.cpp
0x459B20	80		
0x459B70	96		
0x459BD0	128		
0x459C50	432		
0x459E00	80		
0x459E50	288		
0x459F70	368		
0x45A0E0	304		
0x45A210	32		
0x45A230	64		
0x45A270	144		
0x45A300	208		
0x45A3D0	144		
0x45A460	208		
0x45A530	432	PlayerImpl::vfunc124	
0x45A6E0	1504		
0x45ACC0	1168		
0x45B150	2064	PlayerImpl::vfunc186	
0x45B960	64		
0x45B9A0	992		
0x45BD80	560	PlayerImpl::vfunc127	
0x45BFB0	1808	PlayerImpl::vfunc138	
0x45C6C0	2368		
0x45D000	832		
0x45D340	912		/data/textures/utility/scope_overlay.tga
0x45D6D0	109		
0x45D73D	547		
0x45D960	496		
0x45DB50	45		
0x45DB7D	195		
0x45DC40	43		
0x45DC6B	613		
0x45DED0	1631		
0x45E52F	321		
0x45E670	224		
0x45E750	256		
0x45E850	400		
0x45E9E0	80		
0x45EA30	128		
0x45EAB0	48		
0x45EAE0	1456		
0x45F090	128		
0x45F110	176		
0x45F1C0	128		
0x45F240	96		
0x45F2A0	80		
0x45F2F0	208		
0x45F3C0	96		
0x45F420	208		
0x45F4F0	304		
0x45F620	336		
0x45F770	32		
0x45F790	64		
0x45F7D0	240	GameObject::vfunc5	
0x45F8C0	144		Should only be calling this on objects with geometry. | .\GameObject\GameObject.cpp
0x45F950	64		
0x45F990	80		
0x45F9E0	64		
0x45FA20	64		
0x45FA60	96	Store::vfunc17	GameObject::Tick should never be called! | .\GameObject\GameObject.cpp
0x45FAC0	336	Store::vfunc48	
0x45FC10	112	Store::vfunc47	
0x45FC80	448	Store::vfunc34	
0x45FE40	320	Store::vfunc42	
0x45FF80	432	Store::vfunc41	
0x460130	48		
0x460160	368	Store::vfunc29	
0x4602D0	320	Store::vfunc45	
0x460410	64		
0x460450	304	Store::vfunc31	This GameObject does not have a position. | .\GameObject\GameObject.cpp
0x460580	176		
0x460630	176		
0x4606E0	80		
0x460730	256		
0x460830	624	SimplePhysicalGO::vfunc32	
0x460AA0	80		
0x460AF0	112		
0x460B60	80	glShader::vfunc2	
0x460BB0	208		
0x460C80	64		
0x460CC0	304		
0x460DF0	256		
0x460EF0	160		
0x460F90	48		
0x460FC0	368		
0x461130	448		
0x4612F0	320		
0x461430	208		
0x461500	848		
0x461850	240		
0x461940	1616		
0x461F90	224		
0x462070	480		
0x462250	448		
0x462410	352		
0x462570	1168		
0x462A00	64		
0x462A40	64		
0x462A80	224		
0x462B60	64		
0x462BA0	64		
0x462BE0	64		
0x462C20	144		
0x462CB0	160		
0x462D50	80		
0x462DA0	272		
0x462EB0	240		
0x462FA0	112		
0x463010	128		
0x463090	320		
0x4631D0	160		
0x463270	352		
0x4633D0	64		
0x463410	160		
0x4634B0	272		
0x4635C0	400		
0x463750	704		
0x463A10	368		
0x463B80	320		
0x463CC0	176		
0x463D70	240		
0x463E60	224		
0x463F40	272		
0x464050	288		
0x464170	144		
0x464200	64		
0x464240	32		
0x464260	464		
0x464430	672		
0x4646D0	752		
0x4649C0	64		
0x464A00	144		
0x464A90	160		
0x464B30	96		
0x464B90	64		
0x464BD0	80		
0x464C20	176		
0x464CD0	80		
0x464D20	80		
0x464D70	128		
0x464DF0	256		
0x464EF0	160		
0x464F90	240		
0x465080	32		
0x4650A0	48		
0x4650D0	144		
0x465160	160		
0x465200	96		
0x465260	48		
0x465290	80		
0x4652E0	80		
0x465330	128		
0x4653B0	112		
0x465420	112		
0x465490	96		
0x4654F0	96		
0x465550	80		
0x4655A0	144		
0x465630	352		
0x465790	352		
0x4658F0	240		
0x4659E0	192		
0x465AA0	80	ActivatableMixin::vfunc3	
0x465AF0	112		
0x465B60	64		
0x465BA0	192		
0x465C60	80		
0x465CB0	272		%2.3f |  ACTIVE | Inactive
0x465DC0	400		
0x465F50	336		
0x4660A0	512		
0x4662A0	128		
0x466320	128		
0x4663A0	112		
0x466410	1200		
0x4668C0	128		
0x466940	1472		
0x466F00	144		
0x466F90	912		
0x467320	48		
0x467350	128		
0x4673D0	48		
0x467400	96		
0x467460	96		
0x4674C0	240		
0x4675B0	144		
0x467640	336	OrbitCamera::vfunc9	
0x467790	240		
0x467880	80		
0x4678D0	48		
0x467900	64		
0x467940	496		
0x467B30	432		
0x467CE0	240		
0x467DD0	160		
0x467E70	80		
0x467EC0	208		
0x467F90	288		
0x4680B0	1040		
0x4684C0	1056		you got an artifact!
0x4688E0	496		
0x468AD0	368		
0x468C40	304		
0x468D70	304		
0x468EA0	32		
0x468EC0	32		
0x468EE0	64		
0x468F20	128		
0x468FA0	208		
0x469070	112		
0x4690E0	192		
0x4691A0	464		
0x469370	32		
0x469390	336		
0x4694E0	384		
0x469660	336		
0x4697B0	304		
0x4698E0	32		
0x469900	64		
0x469940	112		
0x4699B0	96		
0x469A10	352		
0x469B70	192		
0x469C30	192		
0x469CF0	592		
0x469F40	144		
0x469FD0	96		
0x46A030	256		
0x46A130	112		
0x46A1A0	640		
0x46A420	208	GameSpeakReceiver::vfunc0	
0x46A4F0	192	GameSpeakReceiver::vfunc1	
0x46A5B0	192		
0x46A670	128		
0x46A6F0	144		
0x46A780	336		
0x46A8D0	384	HealthMixinImpl::vfunc1	
0x46AA50	208		
0x46AB20	496		
0x46AD10	368	PlayerImpl::vfunc30	
0x46AE80	224		
0x46AF60	416	PlayerImpl::vfunc13	
0x46B100	96	HealthMixinSimple::vfunc1	
0x46B160	608		.\GOComponents\HealthMixin.cpp
0x46B3C0	128		
0x46B440	160		
0x46B4E0	224		
0x46B5C0	80		
0x46B610	128		
0x46B690	240		
0x46B780	160		
0x46B820	272		
0x46B930	352		
0x46BA90	208		
0x46BB60	464		
0x46BD30	352	SimpleAnimMixin::vfunc5	
0x46BE90	80		center
0x46BEE0	1632		
0x46C540	64		
0x46C580	160		
0x46C620	144		
0x46C6B0	176		
0x46C760	96		
0x46C7C0	1168		Misunderstood animation type | .\GOComponents\SimpleAnimMixin.cpp
0x46CC50	288		
0x46CD70	672		
0x46D010	112		
0x46D080	432		
0x46D230	816		
0x46D560	256		
0x46D660	320		
0x46D7A0	96		
0x46D800	144		
0x46D890	64		
0x46D8D0	144		
0x46D960	176		
